COD CURSO;NOME UNIDADE;COD ESTRUTURADO;COD DISCIPLINA;ID ATIV CURRIC;NOME DISCIPLINA;PERIODO IDEAL;CREDITOS;CH TOTAL;TIPO DISCIPLINA;NUM VERSAO;SIT VERSAO;TOTAL CH;TOTAL CR;SEMESTRE IDEAL;NUM MIN PERIODOS;NUM MAX PERIODOS;CH TOTAL CURSO;SIT ATIV;EMENTA;OBJETIVOS
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0008;11894;TIN0008 - Organização de Computadores;1;5;90;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TME0012;11937;TME0012 - Cálculo Diferencial e Integral I;1;5;90;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0009;11895;TIN0009 - Estruturas Discretas;2;4;60;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0011;11897;TIN0011 - TÉCNICAS DE PROGRAMAÇÃO II;2;5;90;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0012;11898;TIN0012 - Modelagem de Sistemas;2;3;60;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0013;11899;TIN0013 - Análise Empresarial e Administrativa;2;4;60;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0016;11902;TIN0016 - Sistemas Operacionais;2;3;60;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TME0013;11938;TME0013 - Cálculo  Diferencial e Integral II;2;5;90;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0010;11896;TIN0010 - Produtividade Pessoal com Sistemas de Informação;3;3;60;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;;[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0014;11900;TIN0014 - Estruturas de Dados;3;3;90;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
