COD CURSO,NOME UNIDADE,COD ESTRUTURADO,COD DISCIPLINA,ID ATIV CURRIC,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,CH TOTAL,TIPO DISCIPLINA,NUM VERSAO,SIT VERSAO,TOTAL CH,SEMESTRE IDEAL,NUM MIN PERIODOS,NUM MAX PERIODOS,CH TOTAL CURSO,SIT ATIV,EMENTA,DESCR ESTRUTURA,TIPO AULA,NUM HORAS,CONTA CH,SITUACAO VERSAO,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0306,22709.0,TIN0306 - Atividades de Extensão I,5,5.0,150,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TMQ0008,22621.0,TMQ0008 - Estatística,5,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,HDI0142,14890.0,HDI0142 - Língua Brasileira de Sinais,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,HDI0164,14927.0,HDI0164 - Culturas Afro Brasileiras em Sala de Aula,6,2.0,30,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,SER0012,13968.0,SER0012 - EDUCAÇÃO AMBIENTAL E CIDADANIA,6,2.0,45,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0106,15096.0,TIN0106 - DESENVOLVIMENTO DE PÁGINAS WEB,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0135,15123.0,TIN0135 - ADMINISTRAÇÃO DE BANCO DE DADOS,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0142,15129.0,TIN0142 - PROGRAMAÇÃO LINEAR,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0144,15131.0,TIN0144 - ALGORITMOS PARA PROBLEMAS COMBINATÓRIOS,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0147,15133.0,TIN0147 - FUNDAMENTOS DE REPRESENTAÇÃO DE CONHECIMENTO E RACIOCÍNIO,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0150,15108.0,TIN0150 - AMBIENTE OPERACIONAL UNIX,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0159,15115.0,TIN0159 - SISTEMAS COLABORATIVOS,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0221,22625.0,TIN0221 - Empreendedorismo e Inovação,6,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
