COD CURSO,NUM VERSAO,DESCR ESTRUTURA,COD DISCIPLINA,NOME UNIDADE,COD ESTRUTURADO,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,TIPO AULA,NUM HORAS,CONTA CH,TIPO DISCIPLINA,SITUACAO VERSAO,CH TOTAL,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO,EMENTA
210,2000/2,Disciplinas obrigatórias,TIN0021,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Programação Modular,5,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0022,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Construção de Sistemas,5,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0022,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Construção de Sistemas,5,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0023,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Redes de Computadores,4,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0023,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Redes de Computadores,4,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0024,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Seminários sobre Optativas e Eletivas,4,1,Prática,30,S,Obrigatória,I,30,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0024,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Seminários sobre Optativas e Eletivas,4,1,Teórica,0,S,Obrigatória,I,30,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0026,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Distribuição e Concorrência,6,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0026,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Distribuição e Concorrência,6,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0027,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Iniciação à Pesquisa I,5,1,Prática,30,S,Obrigatória,I,30,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0027,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Iniciação à Pesquisa I,5,1,Teórica,0,S,Obrigatória,I,30,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0028,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto e Construção de Sistemas com Ambiente de Programação,4,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0028,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto e Construção de Sistemas com Ambiente de Programação,4,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0029,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Iniciação à Pesquisa II,6,1,Prática,30,S,Optativa,I,30,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0029,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Iniciação à Pesquisa II,6,1,Teórica,0,S,Optativa,I,30,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0030,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Empresa de Informática,6,4,Prática,0,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0030,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Empresa de Informática,6,4,Teórica,60,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0031,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto de Graduação I,7,2,Prática,60,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0031,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto de Graduação I,7,2,Teórica,0,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0032,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Gerência de Projetos em Informática,7,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0032,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Gerência de Projetos em Informática,7,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0033,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto de Graduação II,8,2,Prática,60,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0033,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Projeto de Graduação II,8,2,Teórica,0,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0051,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Estudo de Domínios de Aplicação 1,4,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,
